Site,Link,Name,Author,Publisher,Year,Language
yakaboo.ua,https://www.yakaboo.ua/ua/den-scho-navchiv-mene-zhiti.html,"День, що навчив мене жити
Le jour où j'ai appris à vivre",Лоран Гунель,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/chizkejk-vnutri-kniga-tret-ja.html,Чизкейк внутри. Книга третья,Вікторія Мельник,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/sila-podsoznanija-ili-kak-izmenit-zhizn-za-4-nedeli-1876110.html,"Сила подсознания, или Как изменить жизнь за 4 недели
Breaking the Habit of Being Yourself: How to Lose Your Mind and Create a New One",Джо Диспенза,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/velike-misto-malen-kij-zajchik-abo-med-dlja-mami.html,"Велике місто, маленький зайчик, або Мед для мами","Іван Малкович, Софія Ус",А-ба-ба-га-ла-ма-га,2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ukrains-ka-mova-ta-literatura-zbirnik-zavdan-v-testovij-formi-zno-2020-2-chastina.html,Українська мова та література. Збірник завдань в тестовій формі. ЗНО 2020. 2 частина,Олександр Авраменко,Грамота,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ein-hund-namens-money.html,"Пес на ім'я Мані, або Абетка грошей
Ein Hund namens Money",Бодо Шефер,Видавництво Старого Лева,2008,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/trista-poezij.html,Триста поезій,Ліна Костенко,А-ба-ба-га-ла-ма-га,2012,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/gzhegozh-kasdepke-velika-kniga-pochuttiv.html,Велика книга почуттів,Ґжеґож Касдепке,Урбіно,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/dumaj-i-bagatij-1606035.html,"Думай і багатій
Think and Grow Rich Action Pack: Learn the Secret Behind Hill's Success and That of Hundreds of Others",Наполеон Гілл,Наш Формат,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/nova-radist-stala.html,Нова радість стала,,А-ба-ба-га-ла-ма-га,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/use-po-staromu.html,"Щоденник слабака. Книга 10. Усе по-старому
Old school",Джефф Кінні,КМ-БУКС,2020,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/neestestvennye-prichiny-zapiski-sudmedjeksperta-gromkie-ubijstva-uzhasajuschie-terakty-i-zaputannye-dela.html,"Неестественные причины. Записки судмедэксперта. Громкие убийства, ужасающие теракты и запутанные дела
Unnatural Causes",Річард Шеперд,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/ukrains-ka-literatura-mini-konspekti.html,Українська література. Міні-конспекти,Олександр Авраменко,Грамота,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/principy-pervyh-komplekt-iz-2-knig.html,Big money. Подарочный набор: книга и бизнес-блокнот в коробке,Євгеній Черняк,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/use-zamahalo-ale-nadija-e.html,"Усе замахало. Але надія є
Everything Is F*cked: A Book About Hope",Марк Менсон,Наш Формат,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/taleb-n-n-antihrupkost-kak-izvlech-vygodu-iz-haosa-idei-sp-izm-mir.html,"Антихрупкость. Как извлечь выгоду из хаоса
Antifragile: Things That Gain from Disorder",Нассім Ніколас Талеб,"Азбука, КоЛибри",2015,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/navchitisja-vchitisja-jak-zapustiti-svij-mozok-na-povnu.html,"Навчитися вчитися. Як запустити свій мозок на повну
A Mind for Numbers: How to Excel at Math and Science (Even If You Flunked Algebra)",Барбара Оклі,Наш Формат,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/uroki-ukrains-koi-vid-oleksandra-avramenko-komplekt-iz-3-knig.html,Уроки української від Олександра Авраменка (комплект із 3 книг),Олександр Авраменко,#книголав,2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/100-ekspres-urokiv-ukrains-koi.html,100 експрес-уроків української,Олександр Авраменко,#книголав,2016,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vid-mak-komplekt-iz-8-knig.html,Відьмак (комплект із 8 книг),Анджей Сапковський,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ukrains-ka-mova-bukvar-1-klas-chastina-1-1896889.html,Українська мова. Буквар. 1 клас. Частина 1,Катерина Пономарьова,"УОВЦ ""Оріон""",2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/zno-2020-ukrains-ka-mova-ta-literatura-vlasne-vislovlennja.html,ЗНО 2020. Українська мова та література. Власне висловлення,"Інна Літвінова, Юлія Гарюнова, Олександр Авраменко",Грамота,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/psihologija-vplivu-1571224.html,"Психологія впливу
Influence: The Psychology of Persuasion",Роберт Чалдіні,"Книжковий клуб ""Клуб Сімейного Дозвілля""",2017,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/jak-dati-ditini-vse-bez-groshej-i-zv-jazkiv.html,Як дати дитині все без грошей і зв’язків,Дмитро Карпачов,IPIO,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/zvablennja-izheju-70-receptiv-jaki-zahochet-sja-gotuvati.html,"Зваблення їжею. 70 рецептів, які захочеться готувати",Євген Клопотенко,#книголав,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/sapiens-juval-noj-harari-mjagkaja-oblozhka-sindbad.html,"Sapiens. Краткая история человечества
Sapiens. A Brief History of Humankind",Ювал Ной Харарі,Синдбад,2016,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/ne-noj-tol-ko-tot-kto-perestal-setovat-na-sud-bu-mozhet-stat-bogatym-1854540.html,"НЕ НОЙ. Только тот, кто перестал сетовать на судьбу, может стать богатым",Джен Сінсеро,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/bukova-zemlja.html,Букова земля,Марія Матіос,А-ба-ба-га-ла-ма-га,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/minecraft-stiker-buk-dlja-rezhimu-vizhivannja.html,"Minecraft. Стікер-бук для режиму ""Виживання""","Стефані Мілтон, Крейг Джеллі",Артбукс,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/vidverta-rozmova-pro-ce.html,"Відверта розмова про ""це""
El Sexo contado a los pequenos",,КМ-БУКС,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/pishi-skorochuj.html,"Пиши, скорочуй. Як створити дієвий текст","Людмила Саричєва, Максим Ільяхов",Book Chef,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/garri-potter-i-kelih-vognju-iljustrovane-vidannja.html,"Гаррі Поттер і Келих Вогню. Ілюстроване видання
Harry Potter and the Goblet of Fire: The Illustrated Edition",Джоан Роулінг,А-ба-ба-га-ла-ма-га,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/taleb-n-n-chernyj-lebed-pod-znakom-nepredskazuemosti-2-e-izd-dopoln-idei-sp-izm-mir.html,"Черный лебедь. Под знаком непредсказуемости
The Black Swan. On Robustness and Fragility. The Bed of Procrustus",Нассім Ніколас Талеб,"Азбука, КоЛибри",2015,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/monah-jakij-prodav-svij-ferrari-1909676.html,"Монах, який продав свій ""Феррарі""
The Monk Who Sold His Ferrari",Робін Шарма,КМ-БУКС,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/lelegance-du-herisson.html,"Элегантность ежика
L'elegance du herisson",Мюріель Барбері,Азбука,2012,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/21-urok-dlja-21-go-stolittja.html,"21 урок для 21-го століття
21 Lessons for the 21st Century",Ювал Ной Харарі,Book Chef,2018,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/zno-2020-tipovi-testovi-zavdannja-matematika-korotkij-matematichnij-dovidnik.html,ЗНО 2020. Типові тестові завдання. Математика (+ короткий математичний довідник),Альбіна Гальперіна,Літера ЛТД,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/stanovlennja.html,"Становлення
Becoming",Мішель Обама,Book Chef,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/ukrains-ka-literatura-hrestomatija-dlja-pidgotovki-do-zovnishn-ogo-nezalezhnogo-ocinjuvannja-2020.html,Українська література. Хрестоматія для підготовки до зовнішнього незалежного оцінювання 2020,Олександр Авраменко,Грамота,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/darujuschij-zvezdy.html,"Дарующий звезды
The Giver of Stars",Джоджо Моєс,"Азбука, Иностранка",2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/451-po-farengejtu-1884171.html,"451° по Фаренгейту
Fahrenheit 451",Рей Бредбері,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/istorija-ukraina.html,Історія Україна,Орест Субтельний,Либідь,1998,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/orvel-kolgosp-tvarin.html,"Колгосп тварин
Animal Farm",Джордж Орвелл,Видавництво Жупанського,2015,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/dobri-novini-z-aral-s-kogo-morja.html,Добрі новини з Аральського моря,Ірена Карпа,#книголав,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/mudrost-zhenschiny-1879236.html,Мудрость женщины,Луіза Л. Хей,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/ukrains-ka-mova-ta-literatura-1-ch.html,Українська мова та література. Частина 1,"Марія Блажко, Олександр Авраменко",Грамота,2019,Ukrainian
yakaboo.ua,https://www.yakaboo.ua/ua/chto-i-kogda-est-kak-najti-zolotuju-seredinu-mezhdu-golodom-i-pereedaniem.html,Что и когда есть. Как найти золотую середину между голодом и перееданием,Андрій Бєловєшкін,Форс,2019,Russian
yakaboo.ua,https://www.yakaboo.ua/ua/anglijs-ka-mova-gramatika-zbirnik-vprav.html,Англійська мова. Граматика. Збірник вправ,"Юрій Голіцинський, Ніна Голіцинська",Арій,2017,Ukrainian
