Site,Link,Name,Author,Publisher,Year,Language
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754645,Harry Potter and the Philosopher's Stone (Ravenclaw Edition),Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754643,Harry Potter. A History of Magic,,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754642,Harry Potter. The Illustrated Collection,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754641,Harry Potter and the Goblet of Fire. Illustrated,Джоан Роулінг,Bloomsbury Children's Books,2019,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754638,Harry Potter and the Chamber of Secrets - Hufflep,,Bloomsbury Children's Books,,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754637,Harry Potter and the Chamber of Secrets – Slytherin Edition,Джоан Роулінг,Bloomsbury Children's Books,2018,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754636,Harry Potter and the Chamber of Secrets,Джоан Роулінг,Bloomsbury Children's Books,2018,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754635,Harry Potter and the Chamber of Secrets – Slytherin Edition,Джоан Роулінг,Bloomsbury Children's Books,2018,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754632,Fantastic Beasts and Where to Find Them,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754631,Tales of Beedle the Bard,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754630,Quidditch Through the Age,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754629,The Tales of Beedle the Bard,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754628,Harry Potter and the Chamber of Secrets – Gryffindor Edition,Джоан Роулінг,Bloomsbury Children's Books,2018,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754627,Harry Potter and the Chamber of Secrets - Ravencl,,Bloomsbury Children's Books,,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754626,Harry Potter and the Chamber of Secrets – Ravenclaw Edition,Джоан Роулінг,Bloomsbury Children's Books,2018,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754625,Harry Potter and the Philosopher's Stone (Ravenclaw Edition),Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754624,Quidditch Through the Ages,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754623,Fantastic Beasts and Where to Find Them,Джоан Роулінг,Bloomsbury Children's Books,2017,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754622,Harry Potter and the Chamber of Secrets,Джоан Роулінг,Bloomsbury Children's Books,2014,English
bukva.ua,https://bukva.ua/ua/catalog/browse/390/1/754621,Harry Potter and the Prisoner of Azkaban,Джоан Роулінг,Bloomsbury Children's Books,2014,English
